vpredmean_IDN,ups,retstd_NSN,retmean_IDN,advstd_IDN,vpredstd_NSN,advmean_NSN,advmean_IDN,loss,rew_mean_IDN,eplen,vpredmean_NSN,vfn_loss,idn_pg_loss,n_updates,eprew_recent,tps,advstd_NSN,ext_reward,retstd_IDN,epcount,retmean_NSN,rew_mean_NSN,metric,ext_reward_std,total_secs,vpredstd_IDN,eprew,best_ext_ret,tcount
-18.791416,19.237808681613032,0.522009,-23.689548,2.9436529,0.38078514,0.32019114,-4.898134,1.1165529340505598,-0.9754111,6.91,6.663781,15.373872995376585,-0.0004902541016538978,73,0.7866666666666666,9849.758044985872,0.6361266,0.125,2.5877783,5610.0,6.9839725,0.125,0.9754111220439274,0.33071890473365784,3.9255788326263428,1.1078115,0.81,1.0,37200.0
-19.32941,18.804743437422943,0.47818553,-24.285606,2.8447278,0.37302265,0.35978955,-4.9561973,1.1359973003466923,-0.97452927,6.9,6.9503136,15.363056580225626,0.00015762013693650621,74,0.8552631578947368,9628.028639960547,0.582893,0.134765625,2.5855663,5686.0,7.310102,0.13476562,0.9745292613903681,0.34147307276725763,3.978756904602051,1.0687469,0.84,1.0,37729.0
-19.782415,19.109491179472226,0.5578193,-24.763329,3.022638,0.4241858,0.26792547,-4.980913,1.1236100445191066,-0.9583062,6.64,7.25255,16.020804007848103,-0.001606778862575689,75,0.7567567567567568,9784.05948388978,0.6568629,0.11328125000000001,2.6844802,5760.0,7.520476,0.11328125,0.9583061933517456,0.31693628430366516,4.0310869216918945,1.1909143,0.77,1.0,38220.0
-20.355167,19.126658184786425,0.5213082,-25.095741,2.8042219,0.4044954,0.3662275,-4.7405763,1.0977225154638288,-0.9105586,6.67,7.5690546,14.237334887186686,-0.0019063468401630725,76,0.7215189873417721,9792.84899061065,0.6260811,0.12109374999999999,2.4584212,5839.0,7.9352818,0.12109375,0.9105585714181265,0.32623618841171265,4.083369970321655,1.1187763,0.74,1.0,38751.0
-20.905632,18.86759453356245,0.526222,-24.978115,2.6708553,0.42573,0.442697,-4.072484,0.9993730286757152,-0.84385186,6.6,7.893185,11.151804367701212,-0.0005229059606790508,77,0.7866666666666666,9660.208401183974,0.6416666,0.12890625,2.227491,5914.0,8.335882,0.12890625,0.8438518593708675,0.335096150636673,4.136370897293091,1.158473,0.77,1.0,39247.0
-21.433296,18.68461637836947,0.46799228,-25.738731,2.9055555,0.4410291,0.45708224,-4.305434,1.005676786104838,-0.8346794,6.48,8.278445,12.71994137763977,-0.0015518839160601275,78,0.810126582278481,9566.523585725168,0.6027351,0.13085937500000003,2.5316956,5993.0,8.735527,0.13085938,0.8346793750921886,0.3372465074062348,4.1898908615112305,1.1719023,0.83,1.0,39760.0
-22.031448,19.100005919935153,0.5194028,-25.6423,2.9700491,0.42977607,0.29763228,-3.610851,0.9473476211229961,-0.7951617,6.7,8.718933,10.348407189051308,-4.159690191348408e-05,79,0.8701298701298701,9779.203031006798,0.6568604,0.142578125,2.6200652,6070.0,9.016565,0.14257812,0.7951616893212,0.34964209794998163,4.242246866226196,1.1141205,0.88,1.0,40280.0
-22.567657,19.15705914324733,0.4659637,-25.851118,2.3976798,0.4229116,0.3921547,-3.2834601,0.8076374530792236,-0.6953635,6.65,9.073509,7.778093735376994,-0.0009139267106850939,80,0.9324324324324325,9808.414281342633,0.5957101,0.142578125,2.0944822,6144.0,9.465664,0.14257812,0.6953635513782501,0.34964209794998163,4.29444694519043,1.0781565,0.92,1.0,40770.0
-23.000595,18.905013026115334,0.4890404,-26.170057,2.6708732,0.45428652,0.31509918,-3.1694643,0.8782512297232946,-0.7286805,6.63,9.397014,8.165027697881063,-0.000927043768266838,81,0.8765432098765432,9679.366669371051,0.6355805,0.142578125,2.286025,6225.0,9.712114,0.14257812,0.7286804616451262,0.34964209794998163,4.3473429679870605,1.1395041,0.88,1.0,41314.0
-23.46003,19.49469907181468,0.4711795,-26.409142,2.7559478,0.45949,0.36324382,-2.9491086,0.844984158873558,-0.70637447,6.9,9.731348,7.74266254901886,-9.185106803973227e-05,82,0.9027777777777778,9981.285924769116,0.5952956,0.14453125,2.4287355,6297.0,10.094592,0.14453125,0.7063744912544887,0.3516275882720947,4.398638963699341,1.1344604,0.9,1.0,41815.0
-23.909863,19.182116282579564,0.45164603,-26.427338,2.5383368,0.47299573,0.23731175,-2.5174742,0.7430444558461506,-0.63379604,6.76,10.064299,6.080149292945861,-0.00028083271657427036,83,0.918918918918919,9821.243536680737,0.58225375,0.134765625,2.1358104,6371.0,10.301611,0.13476562,0.6337960213422775,0.34147307276725763,4.450770854949951,1.1497452,0.94,1.0,42306.0
-24.403902,19.114977782841517,0.50335836,-26.481295,2.1930497,0.45537204,0.2576146,-2.0773916,0.7401881615320841,-0.62662035,6.76,10.3808365,4.405215462048848,0.0008145874987045927,84,0.9012345679012346,9786.868624814857,0.6032308,0.15625,1.8416071,6452.0,10.638452,0.15625,0.6266203771034876,0.3630921840667725,4.5030858516693115,1.0951105,0.92,1.0,42854.0
